BadName;Prob_Datum;Escherichia coli<br> (KBE/ 100 ml);Intestinale Enterokokken<br> (KBE/ 100 ml);Coliforme Bakterien <br>(KBE/ 100 ml);Sichttiefe <br> (m);Cyanobakterien Chl a <br>(µg/ l);Wassertemperatur <br> (°C);Aktuelle Warnhinweise;Weitere Informationen;Farbe
Radfahrerwiese;28.04.2026;<15;<15;<300;2,1;0;12,7;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Wannsee, Strandbad;28.04.2026;<15;<15;<300;2,1;0,1;12,3;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen
Teufelssee;29.04.2026;15;<15;360;> 1;0;13,1;keine;keine;gruen
Krumme Lanke;29.04.2026;<15;<15;<300;> 1;0;13;keine;keine;gruen
Schlachtensee;29.04.2026;<15;<15;<300;> 1;0;12,8;keine;keine;gruen
Kleiner Müggelsee;05.05.2026;15;<15;<300;1,7;0,1;17,5;keine;keine;gruen
Müggelsee, Strandbad;05.05.2026;<15;<15;<300;3;0;15,2;keine;keine;gruen
Friedrichshagen, Strandbad;05.05.2026;<15;<15;<300;>2,00;0;16,7;keine;keine;gruen
Schmöckwitz;05.05.2026;<15;<15;<300;0,8;5,1;17,6;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen
Seddinsee;05.05.2026;<15;<15;<300;1,9;0,7;17,7;keine;keine;gruen
Große Krampe;05.05.2026;<15;<15;<300;1,5;0,6;17,7;keine;keine;gruen
Bammelecke;05.05.2026;<15;<15;<300;1,4;0,6;17,9;keine;keine;gruen
Grünau, Strandbad;05.05.2026;<15;<15;<300;1,5;0,5;17,8;keine;keine;gruen
Wendenschloss, Strandbad;05.05.2026;<15;<15;<300;1,8;0,6;17,6;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen
Gartenstraße, Flussbad;05.05.2026;<15;<15;<300;1,6;0,3;17,6;keine;keine;gruen
Dämeritzsee;05.05.2026;n.a;n.a;n.a;1,2;n.a;17,8;;Nachkontrollen sind veranlasst.;k.A.
Orankesee, Strandbad;06.05.2026;61;<15;<300;n.a.;0;17,3;keine;keine;gruen
Weißensee, Strandbad;06.05.2026;30;<15;<300;> 1;0,2;16,9;keine;keine;gruen
Plötzensee, Strandbad;06.05.2026;<15;61;<300;>2,60;0,3;17,3;keine;keine;gruen
Flughafensee;06.05.2026;<15;<15;<300;> 1;0;17;keine;keine;gruen
Jungfernheide, Strandbad;06.05.2026;15;<15;<300;1,6;0;17,5;keine;keine;gruen
Heiligensee, Strandbad;06.05.2026;<15;<15;<300;>4,90;0,5;16,5;keine;keine;gruen
Lübars, Strandbad (Ziegeleisee);06.05.2026;15;312;<300;5;0,6;16,6;keine;keine;gruen
Halensee, Strandbad;07.05.2026;144;30;<300;1,6;0;15,4;keine;keine;gruen
Groß Glienicker See, nördlich;07.05.2026;15;<15;<300;> 1;0,6;14,8;keine;keine;gruen
Groß Glienicker See, südlich;07.05.2026;30;<15;<300;> 1;0,4;15,8;keine;keine;gruen
Kleine Badewiese;07.05.2026;1883;161;9300;> 1;0,5;15,3;Erhöhte Keimzahlwerte für Fäkalindikatoren;Mögliche bakterielle Verschmutzungen durch Starkregenereignisse;gelb_prognose
Grunewaldturm;07.05.2026;330;61;360;>1,60;0,6;14,9;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Lieper Bucht;07.05.2026;<15;<15;<300;> 1;0,8;14,4;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Breitehorn;07.05.2026;30;<15;<300;> 1;0,5;15,1;keine;keine;gruen_pognose
Radfahrerwiese;07.05.2026;<15;<15;<300;> 1;0,9;14,7;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Dämeritzsee;12.05.2026;94;30;<300;;;;keine;keine;gruen
Kleine Badewiese;12.05.2026;110;15;910;;;;keine;keine;gruen_pognose
Grunewaldturm;12.05.2026;143;15;360;;;;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Lieper Bucht;12.05.2026;30;<15;360;;;;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Breitehorn;12.05.2026;110;15;360;;;;keine;keine;gruen_pognose
Radfahrerwiese;12.05.2026;15;<15;<300;;;;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Sandhauser Straße;18.05.2026;<15;<15;<300;1,3;0,2;15,8;keine;keine;gruen
Bürgerablage;18.05.2026;<15;<15;<300;1,9;0,5;15,2;keine;keine;gruen
Tegeler See, Strandbad;18.05.2026;15;<15;<300;>2,00;0,5;16,5;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, gegenüber Scharfenberg;18.05.2026;<15;<15;<300;>2,00;0,1;16,5;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, gegenüber Reiswerder;18.05.2026;<15;<15;<300;1,4;0;15,1;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
